"Parti","Fylke","Stemmer"
"MDG","Vest-Agder",2196
"NKP","Vest-Agder",41
"PIR","Vest-Agder",284
"PP","Vest-Agder",881
"RØDT","Vest-Agder",460
"SP","Vest-Agder",2962
"SV","Vest-Agder",2568
"V","Vest-Agder",4205
"A","Vestfold",40869
"DEMN","Vestfold",65
"FRP","Vestfold",26977
"H","Vestfold",41357
"KRF","Vestfold",6735
"KRISTNE","Vestfold",691
"KSP","Vestfold",205
"KYST","Vestfold",157
"MDG","Vestfold",3407
"PIR","Vestfold",474
"PP","Vestfold",596
"RØDT","Vestfold",932
"SP","Vestfold",4084
"SV","Vestfold",5266
"V","Vestfold",6228
