"region";"tid";"statistikkvariabel";"Folkemengde 1. januar og endringer i kalenderåret, etter region, tid og statistikkvariabel"
"01 Østfold";"1968";"Utflyttinger";4968
"01 Østfold";"1969";"Folkemengde";216608
"01 Østfold";"1969";"Levendefødte";3464
"01 Østfold";"1969";"Døde";2303
"01 Østfold";"1969";"Innflyttinger";5966
"01 Østfold";"1969";"Utflyttinger";5205
"01 Østfold";"1970";"Folkemengde";218505
"01 Østfold";"1970";"Levendefødte";3421
"01 Østfold";"1970";"Døde";2314
"01 Østfold";"1970";"Innflyttinger";8084
"01 Østfold";"1970";"Utflyttinger";6045
"01 Østfold";"1971";"Folkemengde";221386
"01 Østfold";"1971";"Levendefødte";3400
"01 Østfold";"1971";"Døde";2371
"01 Østfold";"1971";"Innflyttinger";6934
"01 Østfold";"1971";"Utflyttinger";5370
"01 Østfold";"1972";"Folkemengde";224023
"01 Østfold";"1972";"Levendefødte";3574
"01 Østfold";"1972";"Døde";2440
"01 Østfold";"1972";"Innflyttinger";5888
"01 Østfold";"1972";"Utflyttinger";5614
"01 Østfold";"1973";"Folkemengde";225530
"01 Østfold";"1973";"Levendefødte";3255
"01 Østfold";"1973";"Døde";2483
"01 Østfold";"1973";"Innflyttinger";5934
"01 Østfold";"1973";"Utflyttinger";5399
"01 Østfold";"1974";"Folkemengde";226823
"01 Østfold";"1974";"Levendefødte";3257
"01 Østfold";"1974";"Døde";2494
"01 Østfold";"1974";"Innflyttinger";6295
"01 Østfold";"1974";"Utflyttinger";5828
"01 Østfold";"1975";"Folkemengde";227965
"01 Østfold";"1975";"Levendefødte";2964
"01 Østfold";"1975";"Døde";2437
"01 Østfold";"1975";"Innflyttinger";5678
"01 Østfold";"1975";"Utflyttinger";5570
"01 Østfold";"1976";"Folkemengde";228506
"01 Østfold";"1976";"Levendefødte";2824
"01 Østfold";"1976";"Døde";2415
"01 Østfold";"1976";"Innflyttinger";5429
"01 Østfold";"1976";"Utflyttinger";4895
"01 Østfold";"1977";"Folkemengde";229444
"01 Østfold";"1977";"Levendefødte";2722
"01 Østfold";"1977";"Døde";2383
"01 Østfold";"1977";"Innflyttinger";5501
"01 Østfold";"1977";"Utflyttinger";4677
"01 Østfold";"1978";"Folkemengde";230592
"01 Østfold";"1978";"Levendefødte";2689
"01 Østfold";"1978";"Døde";2338
"01 Østfold";"1978";"Innflyttinger";5597
"01 Østfold";"1978";"Utflyttinger";4760
"01 Østfold";"1979";"Folkemengde";231777
"01 Østfold";"1979";"Levendefødte";2648
"01 Østfold";"1979";"Døde";2616
"01 Østfold";"1979";"Innflyttinger";5346
"01 Østfold";"1979";"Utflyttinger";4740
"01 Østfold";"1980";"Folkemengde";232400
"01 Østfold";"1980";"Levendefødte";2624
"01 Østfold";"1980";"Døde";2467
"01 Østfold";"1980";"Innflyttinger";5485
"01 Østfold";"1980";"Utflyttinger";4743
"01 Østfold";"1981";"Folkemengde";233301
"01 Østfold";"1981";"Levendefødte";2554
"01 Østfold";"1981";"Døde";2554
"01 Østfold";"1981";"Innflyttinger";5292
"01 Østfold";"1981";"Utflyttinger";4639
"01 Østfold";"1982";"Folkemengde";233957
"01 Østfold";"1982";"Levendefødte";2572
"01 Østfold";"1982";"Døde";2490
"01 Østfold";"1982";"Innflyttinger";5137
"01 Østfold";"1982";"Utflyttinger";4463
"01 Østfold";"1983";"Folkemengde";234726
"01 Østfold";"1983";"Levendefødte";2384
"01 Østfold";"1983";"Døde";2557
"01 Østfold";"1983";"Innflyttinger";4965
"01 Østfold";"1983";"Utflyttinger";4562
"01 Østfold";"1984";"Folkemengde";234934
"01 Østfold";"1984";"Levendefødte";2444
"01 Østfold";"1984";"Døde";2652
"01 Østfold";"1984";"Innflyttinger";4727
"01 Østfold";"1984";"Utflyttinger";4388
"01 Østfold";"1985";"Folkemengde";235039
"01 Østfold";"1985";"Levendefødte";2474
"01 Østfold";"1985";"Døde";2712
"01 Østfold";"1985";"Innflyttinger";4796
"01 Østfold";"1985";"Utflyttinger";4655
"01 Østfold";"1986";"Folkemengde";234989
"01 Østfold";"1986";"Levendefødte";2430
"01 Østfold";"1986";"Døde";2599
"01 Østfold";"1986";"Innflyttinger";5579
"01 Østfold";"1986";"Utflyttinger";4650
"01 Østfold";"1987";"Folkemengde";235731
"01 Østfold";"1987";"Levendefødte";2576
"01 Østfold";"1987";"Døde";2730
"01 Østfold";"1987";"Innflyttinger";6167
"01 Østfold";"1987";"Utflyttinger";4705
"01 Østfold";"1988";"Folkemengde";237045
"01 Østfold";"1988";"Levendefødte";2766
"01 Østfold";"1988";"Døde";2810
"01 Østfold";"1988";"Innflyttinger";6142
"01 Østfold";"1988";"Utflyttinger";5139
"01 Østfold";"1989";"Folkemengde";237997
"01 Østfold";"1989";"Levendefødte";2818
"01 Østfold";"1989";"Døde";2721
"01 Østfold";"1989";"Innflyttinger";5287
"01 Østfold";"1989";"Utflyttinger";5355
"01 Østfold";"1990";"Folkemengde";237981
"01 Østfold";"1990";"Levendefødte";3005
"01 Østfold";"1990";"Døde";2818
"01 Østfold";"1990";"Innflyttinger";4984
"01 Østfold";"1990";"Utflyttinger";4814
"01 Østfold";"1991";"Folkemengde";238345
"01 Østfold";"1991";"Levendefødte";2816
"01 Østfold";"1991";"Døde";2695
"01 Østfold";"1991";"Innflyttinger";4467
"01 Østfold";"1991";"Utflyttinger";4618
"01 Østfold";"1992";"Folkemengde";238311
"01 Østfold";"1992";"Levendefødte";2878
"01 Østfold";"1992";"Døde";2789
"01 Østfold";"1992";"Innflyttinger";4559
"01 Østfold";"1992";"Utflyttinger";4334
"01 Østfold";"1993";"Folkemengde";238648
"01 Østfold";"1993";"Levendefødte";2917
"01 Østfold";"1993";"Døde";2941
"01 Østfold";"1993";"Innflyttinger";4603
"01 Østfold";"1993";"Utflyttinger";4525
"01 Østfold";"1994";"Folkemengde";238712
"01 Østfold";"1994";"Levendefødte";2720
"01 Østfold";"1994";"Døde";2684
"01 Østfold";"1994";"Innflyttinger";5222
"01 Østfold";"1994";"Utflyttinger";4604
"01 Østfold";"1995";"Folkemengde";239382
"01 Østfold";"1995";"Levendefødte";2850
"01 Østfold";"1995";"Døde";2765
"01 Østfold";"1995";"Innflyttinger";5455
"01 Østfold";"1995";"Utflyttinger";4672
"01 Østfold";"1996";"Folkemengde";240251
"01 Østfold";"1996";"Levendefødte";2884
"01 Østfold";"1996";"Døde";2698
"01 Østfold";"1996";"Innflyttinger";5370
"01 Østfold";"1996";"Utflyttinger";4650
"01 Østfold";"1997";"Folkemengde";241151
"01 Østfold";"1997";"Levendefødte";2867
"01 Østfold";"1997";"Døde";2757
"01 Østfold";"1997";"Innflyttinger";6952
"01 Østfold";"1997";"Utflyttinger";4623
"01 Østfold";"1998";"Folkemengde";243585
"01 Østfold";"1998";"Levendefødte";2793
"01 Østfold";"1998";"Døde";2663
"01 Østfold";"1998";"Innflyttinger";7264
"01 Østfold";"1998";"Utflyttinger";4936
"01 Østfold";"1999";"Folkemengde";246018
"01 Østfold";"1999";"Levendefødte";2897
"01 Østfold";"1999";"Døde";2646
"01 Østfold";"1999";"Innflyttinger";7423
"01 Østfold";"1999";"Utflyttinger";5477
"01 Østfold";"2000";"Folkemengde";248217
"01 Østfold";"2000";"Levendefødte";2902
"01 Østfold";"2000";"Døde";2722
"01 Østfold";"2000";"Innflyttinger";8058
"01 Østfold";"2000";"Utflyttinger";5418
"01 Østfold";"2001";"Folkemengde";251032
"01 Østfold";"2001";"Levendefødte";2858
"01 Østfold";"2001";"Døde";2669
"01 Østfold";"2001";"Innflyttinger";7329
"01 Østfold";"2001";"Utflyttinger";5795
"01 Østfold";"2002";"Folkemengde";252746
"01 Østfold";"2002";"Levendefødte";2860
"01 Østfold";"2002";"Døde";2756
"01 Østfold";"2002";"Innflyttinger";7929
"01 Østfold";"2002";"Utflyttinger";5669
"01 Østfold";"2003";"Folkemengde";255122
"01 Østfold";"2003";"Levendefødte";2801
"01 Østfold";"2003";"Døde";2739
"01 Østfold";"2003";"Innflyttinger";7316
"01 Østfold";"2003";"Utflyttinger";5829
"01 Østfold";"2004";"Folkemengde";256668
"01 Østfold";"2004";"Levendefødte";2808
"01 Østfold";"2004";"Døde";2595
"01 Østfold";"2004";"Innflyttinger";7442
"01 Østfold";"2004";"Utflyttinger";5760
"01 Østfold";"2005";"Folkemengde";258542
"01 Østfold";"2005";"Levendefødte";2734
"01 Østfold";"2005";"Døde";2582
"01 Østfold";"2005";"Innflyttinger";7633
"01 Østfold";"2005";"Utflyttinger";5915
"01 Østfold";"2006";"Folkemengde";260389
"01 Østfold";"2006";"Levendefødte";2937
"01 Østfold";"2006";"Døde";2508
"01 Østfold";"2006";"Innflyttinger";7766
"01 Østfold";"2006";"Utflyttinger";6078
"01 Østfold";"2007";"Folkemengde";262523
"01 Østfold";"2007";"Levendefødte";2828
"01 Østfold";"2007";"Døde";2608
"01 Østfold";"2007";"Innflyttinger";8977
"01 Østfold";"2007";"Utflyttinger";6272
"01 Østfold";"2008";"Folkemengde";265458
"01 Østfold";"2008";"Levendefødte";2881
"01 Østfold";"2008";"Døde";2615
"01 Østfold";"2008";"Innflyttinger";8743
"01 Østfold";"2008";"Utflyttinger";5930
"01 Østfold";"2009";"Folkemengde";268584
"01 Østfold";"2009";"Levendefødte";3133
"01 Østfold";"2009";"Døde";2606
"01 Østfold";"2009";"Innflyttinger";8672
"01 Østfold";"2009";"Utflyttinger";6112
"01 Østfold";"2010";"Folkemengde";271662
"01 Østfold";"2010";"Levendefødte";2949
"01 Østfold";"2010";"Døde";2657
"01 Østfold";"2010";"Innflyttinger";9641
"01 Østfold";"2010";"Utflyttinger";6718
"01 Østfold";"2011";"Folkemengde";274827
"01 Østfold";"2011";"Levendefødte";2881
"01 Østfold";"2011";"Døde";2566
"01 Østfold";"2011";"Innflyttinger";10029
"01 Østfold";"2011";"Utflyttinger";6796
"01 Østfold";"2012";"Folkemengde";278352
"01 Østfold";"2012";"Levendefødte";2853
"01 Østfold";"2012";"Døde";2658
"01 Østfold";"2012";"Innflyttinger";10217
"01 Østfold";"2012";"Utflyttinger";6754
"01 Østfold";"2013";"Folkemengde";282000
"01 Østfold";"2013";"Levendefødte";2811
"01 Østfold";"2013";"Døde";2653
"01 Østfold";"2013";"Innflyttinger";9963
"01 Østfold";"2013";"Utflyttinger";7149
"01 Østfold";"2014";"Folkemengde";284962
"01 Østfold";"2014";"Levendefødte";2839
"01 Østfold";"2014";"Døde";2653
"01 Østfold";"2014";"Innflyttinger";9533
"01 Østfold";"2014";"Utflyttinger";7523
"01 Østfold";"2015";"Folkemengde";287198
"01 Østfold";"2015";"Levendefødte";0
"01 Østfold";"2015";"Døde";0
"01 Østfold";"2015";"Innflyttinger";0
"01 Østfold";"2015";"Utflyttinger";0
"02 Akershus";"1951";"Folkemengde";183116
"02 Akershus";"1951";"Levendefødte";3321
"02 Akershus";"1951";"Døde";1436
"02 Akershus";"1951";"Innflyttinger";15513
"02 Akershus";"1951";"Utflyttinger";13498
"02 Akershus";"1952";"Folkemengde";187016
"02 Akershus";"1952";"Levendefødte";3428
"02 Akershus";"1952";"Døde";1442
"02 Akershus";"1952";"Innflyttinger";13617
"02 Akershus";"1952";"Utflyttinger";12338
"02 Akershus";"1953";"Folkemengde";190281
"02 Akershus";"1953";"Levendefødte";3653
"02 Akershus";"1953";"Døde";1422
"02 Akershus";"1953";"Innflyttinger";15840
"02 Akershus";"1953";"Utflyttinger";13085
"02 Akershus";"1954";"Folkemengde";195267
"02 Akershus";"1954";"Levendefødte";3745
"02 Akershus";"1954";"Døde";1558
"02 Akershus";"1954";"Innflyttinger";16580
"02 Akershus";"1954";"Utflyttinger";13677
"02 Akershus";"1955";"Folkemengde";200357
"02 Akershus";"1955";"Levendefødte";4001
"02 Akershus";"1955";"Døde";1513
"02 Akershus";"1955";"Innflyttinger";17704
"02 Akershus";"1955";"Utflyttinger";13852
"02 Akershus";"1956";"Folkemengde";206403
"02 Akershus";"1956";"Levendefødte";4171
"02 Akershus";"1956";"Døde";1627
"02 Akershus";"1956";"Innflyttinger";17945
"02 Akershus";"1956";"Utflyttinger";14951
"02 Akershus";"1957";"Folkemengde";211941
"02 Akershus";"1957";"Levendefødte";4284
"02 Akershus";"1957";"Døde";1716
"02 Akershus";"1957";"Innflyttinger";13577
"02 Akershus";"1957";"Utflyttinger";11223
"02 Akershus";"1958";"Folkemengde";216863
"02 Akershus";"1958";"Levendefødte";4389
"02 Akershus";"1958";"Døde";1747
"02 Akershus";"1958";"Innflyttinger";12809
"02 Akershus";"1958";"Utflyttinger";10436
"02 Akershus";"1959";"Folkemengde";221878
"02 Akershus";"1959";"Levendefødte";4325
"02 Akershus";"1959";"Døde";1713
"02 Akershus";"1959";"Innflyttinger";13122
"02 Akershus";"1959";"Utflyttinger";10664
"02 Akershus";"1960";"Folkemengde";226948
"02 Akershus";"1960";"Levendefødte";4427
"02 Akershus";"1960";"Døde";1790
"02 Akershus";"1960";"Innflyttinger";15723
"02 Akershus";"1960";"Utflyttinger";11875
"02 Akershus";"1961";"Folkemengde";234323
"02 Akershus";"1961";"Levendefødte";4534
"02 Akershus";"1961";"Døde";1783
"02 Akershus";"1961";"Innflyttinger";14761
"02 Akershus";"1961";"Utflyttinger";10385
"02 Akershus";"1962";"Folkemengde";241450
"02 Akershus";"1962";"Levendefødte";4698
"02 Akershus";"1962";"Døde";1865
"02 Akershus";"1962";"Innflyttinger";16911
"02 Akershus";"1962";"Utflyttinger";11502
"02 Akershus";"1963";"Folkemengde";249692
"02 Akershus";"1963";"Levendefødte";4951
"02 Akershus";"1963";"Døde";2132
"02 Akershus";"1963";"Innflyttinger";17060
"02 Akershus";"1963";"Utflyttinger";11924
"02 Akershus";"1964";"Folkemengde";257647
"02 Akershus";"1964";"Levendefødte";5283
"02 Akershus";"1964";"Døde";1834
"02 Akershus";"1964";"Innflyttinger";16970
"02 Akershus";"1964";"Utflyttinger";11918
"02 Akershus";"1965";"Folkemengde";266148
"02 Akershus";"1965";"Levendefødte";5474
"02 Akershus";"1965";"Døde";2004
"02 Akershus";"1965";"Innflyttinger";18077
"02 Akershus";"1965";"Utflyttinger";13259
"02 Akershus";"1966";"Folkemengde";274436
"02 Akershus";"1966";"Levendefødte";5528
"02 Akershus";"1966";"Døde";1960
"02 Akershus";"1966";"Innflyttinger";18353
"02 Akershus";"1966";"Utflyttinger";13679
"02 Akershus";"1967";"Folkemengde";282062
"02 Akershus";"1967";"Levendefødte";5466
"02 Akershus";"1967";"Døde";2019
"02 Akershus";"1967";"Innflyttinger";19693
"02 Akershus";"1967";"Utflyttinger";14559
"02 Akershus";"1968";"Folkemengde";290643
"02 Akershus";"1968";"Levendefødte";5718
"02 Akershus";"1968";"Døde";2095
"02 Akershus";"1968";"Innflyttinger";21062
"02 Akershus";"1968";"Utflyttinger";14725
"02 Akershus";"1969";"Folkemengde";300804
"02 Akershus";"1969";"Levendefødte";5934
"02 Akershus";"1969";"Døde";2319
"02 Akershus";"1969";"Innflyttinger";22770
"02 Akershus";"1969";"Utflyttinger";15054
"02 Akershus";"1970";"Folkemengde";312235
"02 Akershus";"1970";"Levendefødte";5820
"02 Akershus";"1970";"Døde";2293
"02 Akershus";"1970";"Innflyttinger";26663
"02 Akershus";"1970";"Utflyttinger";17721
"02 Akershus";"1971";"Folkemengde";324390
"02 Akershus";"1971";"Levendefødte";5908
"02 Akershus";"1971";"Døde";2351
"02 Akershus";"1971";"Innflyttinger";21368
"02 Akershus";"1971";"Utflyttinger";16498
"02 Akershus";"1972";"Folkemengde";332561
"02 Akershus";"1972";"Levendefødte";5845
"02 Akershus";"1972";"Døde";2409
"02 Akershus";"1972";"Innflyttinger";22282
"02 Akershus";"1972";"Utflyttinger";18101
"02 Akershus";"1973";"Folkemengde";340281
"02 Akershus";"1973";"Levendefødte";5642
"02 Akershus";"1973";"Døde";2431
"02 Akershus";"1973";"Innflyttinger";21725
"02 Akershus";"1973";"Utflyttinger";19327
"02 Akershus";"1974";"Folkemengde";345894
"02 Akershus";"1974";"Levendefødte";5348
"02 Akershus";"1974";"Døde";2454
"02 Akershus";"1974";"Innflyttinger";20519
"02 Akershus";"1974";"Utflyttinger";18856
"02 Akershus";"1975";"Folkemengde";350472
"02 Akershus";"1975";"Levendefødte";5214
"02 Akershus";"1975";"Døde";2590
"02 Akershus";"1975";"Innflyttinger";20562
"02 Akershus";"1975";"Utflyttinger";18489
"02 Akershus";"1976";"Folkemengde";354975
"02 Akershus";"1976";"Levendefødte";4774
"02 Akershus";"1976";"Døde";2472
"02 Akershus";"1976";"Innflyttinger";18461
"02 Akershus";"1976";"Utflyttinger";17820
"02 Akershus";"1977";"Folkemengde";357866
"02 Akershus";"1977";"Levendefødte";4563
"02 Akershus";"1977";"Døde";2586
"02 Akershus";"1977";"Innflyttinger";18810
"02 Akershus";"1977";"Utflyttinger";17427
"02 Akershus";"1978";"Folkemengde";361253
"02 Akershus";"1978";"Levendefødte";4549
"02 Akershus";"1978";"Døde";2604
"02 Akershus";"1978";"Innflyttinger";18593
"02 Akershus";"1978";"Utflyttinger";17147
"02 Akershus";"1979";"Folkemengde";364614
"02 Akershus";"1979";"Levendefødte";4463
"02 Akershus";"1979";"Døde";2615
"02 Akershus";"1979";"Innflyttinger";17636
"02 Akershus";"1979";"Utflyttinger";17353
"02 Akershus";"1980";"Folkemengde";366673
"02 Akershus";"1980";"Levendefødte";4308
"02 Akershus";"1980";"Døde";2605
"02 Akershus";"1980";"Innflyttinger";18523
"02 Akershus";"1980";"Utflyttinger";17694
"02 Akershus";"1981";"Folkemengde";369193
"02 Akershus";"1981";"Levendefødte";4302
"02 Akershus";"1981";"Døde";2726
"02 Akershus";"1981";"Innflyttinger";18727
"02 Akershus";"1981";"Utflyttinger";17330
"02 Akershus";"1982";"Folkemengde";372347
"02 Akershus";"1982";"Levendefødte";4444
"02 Akershus";"1982";"Døde";2709
"02 Akershus";"1982";"Innflyttinger";18720
"02 Akershus";"1982";"Utflyttinger";16589
"02 Akershus";"1983";"Folkemengde";376202
"02 Akershus";"1983";"Levendefødte";4253
"02 Akershus";"1983";"Døde";2873
"02 Akershus";"1983";"Innflyttinger";20086
"02 Akershus";"1983";"Utflyttinger";17419
"02 Akershus";"1984";"Folkemengde";380258
"02 Akershus";"1984";"Levendefødte";4553
"02 Akershus";"1984";"Døde";2883
"02 Akershus";"1984";"Innflyttinger";20553
"02 Akershus";"1984";"Utflyttinger";16170
"02 Akershus";"1985";"Folkemengde";386278
"02 Akershus";"1985";"Levendefødte";4653
"02 Akershus";"1985";"Døde";3001
"02 Akershus";"1985";"Innflyttinger";21242
"02 Akershus";"1985";"Utflyttinger";15949
"02 Akershus";"1986";"Folkemengde";393239
"02 Akershus";"1986";"Levendefødte";5036
"02 Akershus";"1986";"Døde";2959
"02 Akershus";"1986";"Innflyttinger";20947
"02 Akershus";"1986";"Utflyttinger";17064
"02 Akershus";"1987";"Folkemengde";399545
"02 Akershus";"1987";"Levendefødte";5344
"02 Akershus";"1987";"Døde";3010
"02 Akershus";"1987";"Innflyttinger";22529
"02 Akershus";"1987";"Utflyttinger";18147
"02 Akershus";"1988";"Folkemengde";405991
"02 Akershus";"1988";"Levendefødte";5774
"02 Akershus";"1988";"Døde";3162
"02 Akershus";"1988";"Innflyttinger";21861
"02 Akershus";"1988";"Utflyttinger";19403
"02 Akershus";"1989";"Folkemengde";410881
"02 Akershus";"1989";"Levendefødte";6007
"02 Akershus";"1989";"Døde";3138
"02 Akershus";"1989";"Innflyttinger";19720
"02 Akershus";"1989";"Utflyttinger";18876
"02 Akershus";"1990";"Folkemengde";414503
"02 Akershus";"1990";"Levendefødte";6144
"02 Akershus";"1990";"Døde";3283
"02 Akershus";"1990";"Innflyttinger";18303
"02 Akershus";"1990";"Utflyttinger";17565
"02 Akershus";"1991";"Folkemengde";418114
"02 Akershus";"1991";"Levendefødte";6078
"02 Akershus";"1991";"Døde";3178
"02 Akershus";"1991";"Innflyttinger";16908
"02 Akershus";"1991";"Utflyttinger";16500
"02 Akershus";"1992";"Folkemengde";421440
"02 Akershus";"1992";"Levendefødte";5977
"02 Akershus";"1992";"Døde";3270
"02 Akershus";"1992";"Innflyttinger";16937
"02 Akershus";"1992";"Utflyttinger";16169
"02 Akershus";"1993";"Folkemengde";424935
"02 Akershus";"1993";"Levendefødte";5920
"02 Akershus";"1993";"Døde";3468
"02 Akershus";"1993";"Innflyttinger";18339
"02 Akershus";"1993";"Utflyttinger";16090
"02 Akershus";"1994";"Folkemengde";429595
"02 Akershus";"1994";"Levendefødte";5905
"02 Akershus";"1994";"Døde";3258
"02 Akershus";"1994";"Innflyttinger";19303
"02 Akershus";"1994";"Utflyttinger";17088
"02 Akershus";"1995";"Folkemengde";434451
"02 Akershus";"1995";"Levendefødte";6080
"02 Akershus";"1995";"Døde";3297
"02 Akershus";"1995";"Innflyttinger";20274
"02 Akershus";"1995";"Utflyttinger";17651
"02 Akershus";"1996";"Folkemengde";439928
"02 Akershus";"1996";"Levendefødte";6091
"02 Akershus";"1996";"Døde";3289
"02 Akershus";"1996";"Innflyttinger";21357
"02 Akershus";"1996";"Utflyttinger";17813
"02 Akershus";"1997";"Folkemengde";446296
"02 Akershus";"1997";"Levendefødte";6233
"02 Akershus";"1997";"Døde";3409
"02 Akershus";"1997";"Innflyttinger";22967
"02 Akershus";"1997";"Utflyttinger";18541
"02 Akershus";"1998";"Folkemengde";453490
"02 Akershus";"1998";"Levendefødte";6026
"02 Akershus";"1998";"Døde";3510
"02 Akershus";"1998";"Innflyttinger";23864
"02 Akershus";"1998";"Utflyttinger";19324
"02 Akershus";"1999";"Folkemengde";460564
"02 Akershus";"1999";"Levendefødte";6244
"02 Akershus";"1999";"Døde";3511
"02 Akershus";"1999";"Innflyttinger";24041
"02 Akershus";"1999";"Utflyttinger";20300
"02 Akershus";"2000";"Folkemengde";467052
"02 Akershus";"2000";"Levendefødte";6228
"02 Akershus";"2000";"Døde";3536
"02 Akershus";"2000";"Innflyttinger";24097
"02 Akershus";"2000";"Utflyttinger";21852
"02 Akershus";"2001";"Folkemengde";471988
"02 Akershus";"2001";"Levendefødte";5884
"02 Akershus";"2001";"Døde";3477
"02 Akershus";"2001";"Innflyttinger";24658
"02 Akershus";"2001";"Utflyttinger";21745
"02 Akershus";"2002";"Folkemengde";477325
"02 Akershus";"2002";"Levendefødte";5998
"02 Akershus";"2002";"Døde";3615
"02 Akershus";"2002";"Innflyttinger";24165
"02 Akershus";"2002";"Utflyttinger";20538
"02 Akershus";"2003";"Folkemengde";483283
"02 Akershus";"2003";"Levendefødte";6251
"02 Akershus";"2003";"Døde";3398
"02 Akershus";"2003";"Innflyttinger";22448
"02 Akershus";"2003";"Utflyttinger";19915
"02 Akershus";"2004";"Folkemengde";488618
"02 Akershus";"2004";"Levendefødte";6151
"02 Akershus";"2004";"Døde";3415
"02 Akershus";"2004";"Innflyttinger";22351
"02 Akershus";"2004";"Utflyttinger";19314
"02 Akershus";"2005";"Folkemengde";494218
"02 Akershus";"2005";"Levendefødte";5939
"02 Akershus";"2005";"Døde";3459
"02 Akershus";"2005";"Innflyttinger";23233
"02 Akershus";"2005";"Utflyttinger";18827
"02 Akershus";"2006";"Folkemengde";501125
"02 Akershus";"2006";"Levendefødte";6258
"02 Akershus";"2006";"Døde";3455
"02 Akershus";"2006";"Innflyttinger";25109
"02 Akershus";"2006";"Utflyttinger";19933
"02 Akershus";"2007";"Folkemengde";509177
"02 Akershus";"2007";"Levendefødte";6266
"02 Akershus";"2007";"Døde";3658
"02 Akershus";"2007";"Innflyttinger";27742
